iter	Passed	Remaining
0	154	153945
1	156	78116
2	158	52680
3	160	40058
4	162	32388
5	164	27306
6	166	23666
7	168	20902
8	170	18751
9	172	17040
10	174	15647
11	175	14482
12	177	13489
13	179	12639
14	181	11936
15	183	11283
16	185	10706
17	186	10196
18	189	9761
19	190	9350
20	192	8973
21	194	8632
22	195	8321
23	197	8036
24	199	7774
25	201	7530
26	202	7297
27	204	7095
28	206	6906
29	207	6720
30	209	6552
31	211	6398
32	213	6242
33	214	6092
34	215	5949
35	217	5815
36	218	5684
37	219	5560
38	220	5444
39	222	5328
40	223	5217
41	224	5115
42	225	5015
43	226	4920
44	227	4828
45	228	4738
46	229	4654
47	230	4568
48	231	4485
49	232	4421
50	233	4346
51	234	4278
52	235	4214
53	237	4152
54	238	4089
55	238	4026
56	239	3963
57	240	3904
58	241	3847
59	241	3790
60	242	3734
61	243	3681
62	243	3628
63	244	3578
64	245	3530
65	246	3483
66	247	3441
67	247	3393
68	248	3351
69	249	3309
70	249	3267
71	250	3226
72	250	3186
73	251	3147
74	252	3109
75	252	3072
76	253	3038
77	254	3004
78	254	2970
79	255	2938
80	256	2906
81	256	2874
82	257	2844
83	258	2814
84	258	2783
85	259	2754
86	259	2725
87	260	2698
88	261	2672
89	261	2647
90	262	2622
91	263	2597
92	263	2572
93	264	2549
94	265	2525
95	265	2502
96	266	2480
97	267	2457
98	267	2436
99	268	2414
100	268	2393
101	269	2370
102	269	2350
103	270	2330
104	271	2312
105	271	2293
106	272	2274
107	273	2255
108	273	2236
109	274	2218
110	274	2200
111	275	2183
112	275	2166
113	276	2150
114	277	2133
115	277	2116
116	278	2100
117	279	2085
118	279	2069
119	280	2053
120	280	2038
121	281	2023
122	281	2006
123	282	1992
124	282	1978
125	283	1964
126	283	1950
127	284	1935
128	284	1922
129	285	1909
130	285	1896
131	286	1883
132	287	1871
133	287	1858
134	288	1846
135	288	1835
136	289	1825
137	290	1813
138	290	1802
139	291	1791
140	292	1780
141	292	1769
142	293	1758
143	294	1747
144	294	1737
145	295	1726
146	295	1716
147	296	1706
148	296	1696
149	297	1686
150	298	1676
151	298	1667
152	299	1657
153	299	1648
154	300	1638
155	301	1629
156	301	1620
157	302	1611
158	302	1602
159	303	1593
160	304	1584
161	304	1576
162	305	1567
163	305	1559
164	306	1551
165	307	1543
166	307	1535
167	308	1527
168	308	1519
169	309	1511
170	310	1503
171	310	1495
172	311	1488
173	311	1481
174	312	1473
175	313	1466
176	313	1458
177	314	1451
178	314	1444
179	315	1437
180	315	1429
181	316	1422
182	317	1416
183	317	1409
184	318	1402
185	319	1396
186	319	1389
187	320	1383
188	320	1376
189	321	1370
190	322	1364
191	322	1358
192	323	1351
193	323	1345
194	324	1339
195	325	1333
196	325	1327
197	326	1321
198	326	1315
199	327	1309
200	327	1303
201	328	1297
202	329	1292
203	329	1286
204	330	1280
205	330	1275
206	331	1269
207	332	1264
208	332	1259
209	333	1254
210	333	1248
211	334	1243
212	335	1238
213	335	1232
214	336	1227
215	336	1222
216	337	1217
217	338	1212
218	338	1207
219	339	1202
220	339	1197
221	340	1192
222	340	1187
223	341	1183
224	342	1178
225	342	1173
226	343	1168
227	343	1164
228	344	1159
229	345	1156
230	346	1151
231	346	1147
232	347	1143
233	347	1139
234	348	1134
235	349	1130
236	349	1125
237	350	1121
238	350	1117
239	351	1113
240	352	1109
241	352	1104
242	353	1100
243	353	1096
244	354	1092
245	355	1088
246	355	1084
247	356	1080
248	356	1076
249	357	1072
250	358	1068
251	358	1064
252	359	1060
253	359	1056
254	360	1052
255	360	1049
256	361	1045
257	362	1041
258	362	1038
259	363	1034
260	363	1030
261	364	1026
262	365	1023
263	365	1019
264	366	1016
265	367	1012
266	367	1009
267	368	1005
268	368	1002
269	369	998
270	369	995
271	370	991
272	371	988
273	371	984
274	372	981
275	372	978
276	373	975
277	374	972
278	375	969
279	376	967
280	376	964
281	377	961
282	378	958
283	379	955
284	380	953
285	380	950
286	381	947
287	382	945
288	382	942
289	383	939
290	384	935
291	384	932
292	385	929
293	385	926
294	386	923
295	387	920
296	387	917
297	388	914
298	388	911
299	389	908
300	390	905
301	390	903
302	391	900
303	391	897
304	392	894
305	393	891
306	393	888
307	394	885
308	394	882
309	395	880
310	395	877
